Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
640,Richie Towell,ie IRL,MF,Rotherham Utd,27,1991,34,28,"2,47",27.4,4,2,6,4,0,0,2,1,3.7,3.7,1.2,4.9,25,93,64,0.15,0.07,0.22,0.15,0.22,0.14,0.04,0.18,0.14,0.18,Matches
641,Conor Townsend,eng ENG,DF,West Brom,25,1993,12,10,957,10.6,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,27,38,50,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
642,Lewis Travis,eng ENG,MF,Blackburn,20,1997,26,19,"1,78",19.8,1,0,1,1,0,0,2,0,0.3,0.3,0.9,1.1,28,100,31,0.05,0.00,0.05,0.05,0.05,0.01,0.04,0.06,0.01,0.06,Matches
643,Connal Trueman,eng ENG,GK,Birmingham City,22,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
644,Tom Trybull,de GER,MF,Norwich City,25,1993,31,22,"1,926",21.4,1,0,1,1,0,0,8,0,2.4,2.4,1.3,3.7,11,135,8,0.05,0.00,0.05,0.05,0.05,0.11,0.06,0.17,0.11,0.17,Matches
645,Axel Tuanzebe,eng ENG,DF,Aston Villa,20,1997,25,24,"2,092",23.2,0,1,1,0,0,0,0,0,0.6,0.6,0.4,1.1,22,67,9,0.00,0.04,0.04,0.00,0.04,0.03,0.02,0.05,0.03,0.05,Matches
646,Ryan Tunnicliffe,eng ENG,MF,Millwall,25,1992,26,22,"1,955",21.7,3,0,3,3,0,0,1,0,2.2,2.2,2.2,4.4,17,57,32,0.14,0.00,0.14,0.14,0.14,0.10,0.10,0.20,0.10,0.20,Matches
647,Josh Tymon,eng ENG,DF,Stoke City,19,1999,1,1,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
648,Isaac Vassell,eng ENG,FW,Birmingham City,24,1993,14,2,312,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,6,2,22,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.23,0.08,0.23,Matches
649,Kyle Vassell,nir NIR,"FW,MF",Rotherham Utd,25,1993,23,9,904,10.0,0,1,1,0,0,0,2,0,1.8,1.8,1.6,3.4,23,12,60,0.00,0.10,0.10,0.00,0.10,0.18,0.16,0.34,0.18,0.34,Matches
650,James Vaughan,eng ENG,FW,Wigan Athletic,30,1988,19,6,545,6.1,2,0,2,1,1,1,3,0,3.6,2.8,1.0,3.8,2,6,18,0.33,0.00,0.33,0.17,0.17,0.59,0.16,0.75,0.46,0.62,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
651,Will Vaulks,wls WAL,MF,Rotherham Utd,24,1993,41,41,"3,608",40.1,7,7,14,6,1,1,10,1,5.8,5.0,5.1,10.1,11,166,50,0.17,0.17,0.35,0.15,0.32,0.14,0.13,0.27,0.13,0.25,Matches
652,Josh Vela,eng ENG,MF,Bolton,24,1993,17,12,"1,149",12.8,0,0,0,0,0,0,6,0,0.6,0.6,0.8,1.4,5,27,25,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
653,Thibaud Verlinden,be BEL,"MF,FW",Stoke City,19,1999,5,2,189,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,12,4,15,0.00,0.48,0.48,0.00,0.48,0.10,0.23,0.33,0.10,0.33,Matches
654,Sam Vokes,wls WAL,FW,Stoke City,28,1989,12,10,835,9.3,3,1,4,3,0,1,0,0,3.6,2.8,1.2,4.0,2,11,39,0.32,0.11,0.43,0.32,0.43,0.39,0.13,0.52,0.30,0.43,Matches
655,Mario Vrančić,ba BIH,MF,Norwich City,29,1989,36,14,"1,495",16.6,10,7,17,9,1,2,5,0,3.7,2.2,3.2,5.4,51,172,44,0.60,0.42,01.02,0.54,0.96,0.23,0.19,0.42,0.13,0.32,Matches
656,Zak Vyner,eng ENG,DF,Rotherham Utd,21,1997,31,28,"2,582",28.7,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,20,98,18,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
657,Martyn Waghorn,eng ENG,FW,Derby County,28,1990,36,29,"2,168",24.1,9,3,12,6,3,3,7,0,7.0,4.6,2.4,7.0,19,46,142,0.37,0.12,0.50,0.25,0.37,0.29,0.10,0.39,0.19,0.29,Matches
658,Molla Wagué,ml MLI,DF,Nott'ham Forest,27,1991,11,9,832,9.2,3,0,3,3,0,0,0,0,1.7,1.7,0.1,1.7,1,14,2,0.32,0.00,0.32,0.32,0.32,0.18,0.01,0.19,0.18,0.19,Matches
659,Ethan Walker,eng ENG,MF,Preston,16,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
660,Lewis Walker,eng ENG,FW,QPR,20,1998,4,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
661,Sam Walker,eng ENG,GK,Reading,26,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
